# Mode: Color Science
# Date: 2026-03-13 13:32:24
# Measurement: ILLUMINATION
# Light: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=100.01 Y=100.39 Z=100.56
# LAB: L*=100.15 a*=-0.64 b*=-0.11
# xy: x=0.3323 y=0.3336
# Swatch_1: S1 I L*=100.9 a*=-0.8 b*=1.6
# Swatch_2: S2 I L*=118.0 a*=-17.3 b*=32.3
# Swatch_3: S3 I L*=103.0 a*=-1.9 b*=6.2
Pixel,Wavelength,Measured,S1,S2,S3
199,367.600181,0.06519613415002823,0.06423892080783844,0.06537865102291107,0.06656280905008316
200,368.095222,0.06499995291233063,0.06882205605506897,0.06631350517272949,0.06733369082212448
201,368.590257,0.06431131064891815,0.0656764879822731,0.06620017439126968,0.06636008620262146
202,369.085287,0.06353860348463058,0.06624449044466019,0.06578299403190613,0.06643745303153992
203,369.580311,0.06551489979028702,0.06381643563508987,0.06652194261550903,0.06644473969936371
204,370.075331,0.06470713764429092,0.06488988548517227,0.06471315026283264,0.06383784860372543
205,370.570345,0.06627566367387772,0.06512707471847534,0.06429055333137512,0.0646681860089302
206,371.065355,0.06430108100175858,0.06317204236984253,0.06445096433162689,0.0670807883143425
207,371.560359,0.06570065766572952,0.0635225921869278,0.0647977888584137,0.06430960446596146
208,372.055358,0.06506448984146118,0.06479541212320328,0.06356057524681091,0.06384198367595673
209,372.550352,0.06345172226428986,0.06696627289056778,0.06580359488725662,0.06425628811120987
210,373.045342,0.06629738211631775,0.06553172320127487,0.06503099948167801,0.06365831196308136
211,373.540326,0.06545291841030121,0.06394509971141815,0.0639941543340683,0.063936248421669
212,374.035305,0.06626537442207336,0.06599888205528259,0.06468863785266876,0.06495927274227142
213,374.53028,0.06454254686832428,0.06567808985710144,0.06428339332342148,0.0657108724117279
214,375.025249,0.06379736959934235,0.06452562659978867,0.06469715386629105,0.06554897129535675
215,375.520214,0.06441997736692429,0.06415704637765884,0.06506140530109406,0.06743317097425461
216,376.015174,0.06439393758773804,0.06581030040979385,0.0650809183716774,0.06571923196315765
217,376.510129,0.06458130478858948,0.06963776797056198,0.06314760446548462,0.06406927108764648
218,377.00508,0.06499995291233063,0.06815839558839798,0.06484196335077286,0.06595912575721741
219,377.500026,0.06298419088125229,0.0648571327328682,0.06592558324337006,0.0645999163389206
220,377.994967,0.06454163789749146,0.06330665946006775,0.06356915831565857,0.06472648680210114
221,378.489903,0.06467197090387344,0.0640985518693924,0.06562114506959915,0.06411849707365036
222,378.984835,0.0645332783460617,0.06596611440181732,0.0648762583732605,0.06544079631567001
223,379.479763,0.06554601341485977,0.06332436949014664,0.06478579342365265,0.06630261987447739
224,379.974685,0.06210644170641899,0.06357065588235855,0.06442488729953766,0.06414955854415894
225,380.469604,0.06593797355890274,0.06444093585014343,0.06612119823694229,0.06154986843466759
226,380.964517,0.06465577334165573,0.06447363644838333,0.06735352426767349,0.06226929649710655
227,381.459427,0.064130499958992,0.0628543496131897,0.06387302279472351,0.06396627426147461
228,381.954332,0.06281834095716476,0.06296239048242569,0.06495343893766403,0.06444630771875381
229,382.449232,0.06419029831886292,0.06412512063980103,0.06575372070074081,0.06431663781404495
230,382.944128,0.06515450775623322,0.06634421646595001,0.0658353790640831,0.0664711743593216
231,383.43902,0.06385280191898346,0.06285662204027176,0.06745704263448715,0.06408846378326416
232,383.933907,0.0662292093038559,0.06477215141057968,0.06754931807518005,0.06217707693576813
233,384.428791,0.06417287141084671,0.06608384847640991,0.06756597757339478,0.06602000445127487
234,384.923669,0.062415506690740585,0.06406562030315399,0.06829830259084702,0.06779033690690994
235,385.418544,0.06653633713722229,0.06517904251813889,0.07036452740430832,0.06865684688091278
236,385.913415,0.06489381194114685,0.0644632950425148,0.0650114119052887,0.06259368360042572
237,386.408281,0.06842619925737381,0.0631626546382904,0.065493643283844,0.0644976794719696
238,386.903143,0.06531591713428497,0.06383784860372543,0.06496644020080566,0.065493643283844
239,387.398001,0.06478651612997055,0.06700434535741806,0.06429178267717361,0.06461388617753983
240,387.892855,0.0656726285815239,0.0668526291847229,0.07004286348819733,0.06498534232378006
241,388.387706,0.06344696879386902,0.0643627941608429,0.0708313062787056,0.06783969700336456
242,388.882552,0.06474047154188156,0.06525228172540665,0.06844671070575714,0.06548500061035156
243,389.377394,0.06484518200159073,0.06568914651870728,0.06822821497917175,0.06548356264829636
244,389.872232,0.06306024640798569,0.06316264718770981,0.06982395052909851,0.06486406177282333
245,390.367066,0.06444985419511795,0.06489209830760956,0.06922520697116852,0.0649174228310585
246,390.861896,0.06333495676517487,0.0631541907787323,0.07084933668375015,0.06467905640602112
247,391.356723,0.0630110651254654,0.06384094059467316,0.06989695876836777,0.06356304883956909
248,391.851545,0.06382240355014801,0.06413815170526505,0.07022000104188919,0.06384855508804321
249,392.346364,0.0644976869225502,0.06427915394306183,0.06878382712602615,0.06580516695976257
250,392.841179,0.06679701060056686,0.06438036262989044,0.06887207925319672,0.06712283939123154
251,393.33599,0.06738820672035217,0.06405612081289291,0.07359643280506134,0.0632593184709549
252,393.830798,0.06705272942781448,0.0641302689909935,0.07303035259246826,0.06544415652751923
253,394.325602,0.06585127115249634,0.06674269586801529,0.07290219515562057,0.06437648832798004
