# Mode: Calibration
# Date: 2026-03-11 21:43:45
# Reference source: FL12
# Sensitivity correction: off
# Gain: 10.0
# Exposure: 10000
pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
564,0.24177254736423492,546.456678,0.40985422184180625,546.456678,0.24177254736423492
565,0.21890634298324585,546.787123,0.30480274090601633,546.787123,0.21890634298324585
566,0.19752773642539978,547.117722,0.23003038162786957,547.117722,0.19752773642539978
567,0.1827956885099411,547.448473,0.21009120474572207,547.448473,0.1827956885099411
568,0.16289129853248596,547.779377,0.19014280432665465,547.779377,0.16289129853248596
569,0.14952345192432404,548.110432,0.1744447867919235,548.110432,0.14952345192432404
570,0.13628844916820526,548.441639,0.16725314487952,548.441639,0.13628844916820526
571,0.12733565270900726,548.772996,0.1600582459517558,548.772996,0.12733565270900726
572,0.11841677129268646,549.104502,0.1532322574865535,549.104502,0.11841677129268646
573,0.11291574686765671,549.436157,0.147211956293544,549.436157,0.11291574686765671
574,0.10520350188016891,549.767961,0.14118895040777177,549.767961,0.10520350188016891
575,0.09693941473960876,550.099913,0.1345649815701212,550.099913,0.09693941473960876
576,0.09194770455360413,550.432012,0.12654802069412058,550.432012,0.09194770455360413
577,0.08851674199104309,550.764257,0.11852753533810469,550.764257,0.08851674199104309
578,0.08556534349918365,551.096648,0.10996303999008784,551.096648,0.08556534349918365
579,0.08205860108137131,551.429184,0.10007588563942256,551.429184,0.08205860108137131
580,0.0803239718079567,551.761865,0.09018442006416626,551.761865,0.0803239718079567
581,0.07950472831726074,552.094689,0.08047584316522627,552.094689,0.07950472831726074
582,0.0792747214436531,552.427657,0.07123391208250826,552.427657,0.0792747214436531
583,0.07936806976795197,552.760767,0.06198803961739126,552.760767,0.07936806976795197
584,0.0784607082605362,553.094019,0.053507903410416044,553.094019,0.0784607082605362
585,0.074920654296875,553.427412,0.046983466161162814,553.427412,0.074920654296875
586,0.07491336017847061,553.760945,0.04045628913868454,553.760945,0.07491336017847061
587,0.07617651671171188,554.094618,0.03476291557174993,554.094618,0.07617651671171188
588,0.07349706441164017,554.428431,0.031181589667440453,554.428431,0.07349706441164017
589,0.07132820039987564,554.762381,0.027598793953242003,554.762381,0.07132820039987564
590,0.07346651703119278,555.096469,0.02458084750173691,555.096469,0.07346651703119278
591,0.07271774113178253,555.430694,0.022957198877569827,555.430694,0.07271774113178253
592,0.07230618596076965,555.765055,0.021332889572087167,555.765055,0.07230618596076965
593,0.07160012423992157,556.099552,0.019986960808676707,556.099552,0.07160012423992157
594,0.07306613773107529,556.434183,0.019299300355738354,556.434183,0.07306613773107529
