# Mode: Color Science
# Date: 2026-03-13 13:07:15
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=145.65 Y=245.84 Z=52.00
# LAB: L*=140.56 a*=-108.05 b*=109.10
# xy: x=0.3284 y=0.5543
Pixel,Wavelength,Measured,Dark
376,455.507623,0.04700441658496857,0.07685891538858414
377,456.004577,0.04980243742465973,0.07692015171051025
378,456.501508,0.05353958159685135,0.07697532325983047
379,456.998417,0.056617558002471924,0.07456046342849731
380,457.495303,0.05811992287635803,0.07249750196933746
381,457.992166,0.05859072506427765,0.07449124753475189
382,458.489006,0.059027157723903656,0.07425815612077713
383,458.985823,0.059083737432956696,0.0773109570145607
384,459.482618,0.06567693501710892,0.07539021223783493
385,459.979389,0.07340328395366669,0.07454323768615723
386,460.476138,0.06258407235145569,0.07806695997714996
387,460.972864,0.0683068111538887,0.07489072531461716
388,461.469566,0.07108288258314133,0.07446903735399246
389,461.966246,0.07365303486585617,0.07512714713811874
390,462.462903,0.07284779846668243,0.07598255574703217
391,462.959536,0.07270059734582901,0.07619329541921616
392,463.456147,0.07430459558963776,0.0774756371974945
393,463.952734,0.07486123591661453,0.07738024741411209
394,464.449298,0.07685980200767517,0.07762882113456726
395,464.945839,0.07542628794908524,0.08047785609960556
396,465.442356,0.08001621812582016,0.07675402611494064
397,465.938851,0.07874447852373123,0.07488421350717545
398,466.435322,0.07763100415468216,0.07621892541646957
399,466.93177,0.07807589322328568,0.07921042293310165
400,467.428194,0.07890117168426514,0.07733999192714691
401,467.924595,0.0815296545624733,0.07700357586145401
402,468.420973,0.07622501999139786,0.08034688979387283
403,468.917327,0.0807792916893959,0.07349006086587906
404,469.413657,0.08416002988815308,0.0768427848815918
405,469.909964,0.0838613510131836,0.0760703831911087
406,470.406248,0.08891479671001434,0.07438589632511139
407,470.902508,0.08529870957136154,0.07586846500635147
408,471.398744,0.08184222877025604,0.07859237492084503
409,471.894957,0.08386832475662231,0.07677759230136871
410,472.391146,0.08775551617145538,0.07408842444419861
411,472.887312,0.09049385040998459,0.07581298798322678
412,473.383453,0.09291281551122665,0.07485724240541458
413,473.879571,0.0814506784081459,0.07955212146043777
414,474.375665,0.08672840893268585,0.07829912006855011
415,474.871735,0.0865219384431839,0.07713498175144196
416,475.367782,0.08262696117162704,0.07838553935289383
417,475.863804,0.08617698401212692,0.07903299480676651
418,476.359803,0.089032381772995,0.07769224047660828
419,476.855777,0.08731715381145477,0.07956035435199738
420,477.351728,0.09274299442768097,0.07662717998027802
421,477.847655,0.08959398418664932,0.07919786125421524
422,478.343557,0.09108952432870865,0.07857952266931534
423,478.839436,0.1012137159705162,0.0791168287396431
424,479.33529,0.10670877248048782,0.0778951570391655
425,479.831121,0.0930146649479866,0.08470311015844345
426,480.326927,0.09897596389055252,0.08010628074407578
427,480.822709,0.1006854772567749,0.08103932440280914
428,481.318466,0.10663791000843048,0.07601298391819
429,481.8142,0.1120234876871109,0.0771804004907608
430,482.309909,0.1093406155705452,0.07627641409635544
431,482.805594,0.11202466487884521,0.07801389694213867
432,483.301254,0.11131732910871506,0.08067940920591354
433,483.79689,0.12000837177038193,0.0814998522400856
434,484.292502,0.1145896464586258,0.07966026663780212
435,484.788089,0.11230740696191788,0.0785113051533699
436,485.283652,0.11038582772016525,0.07811758667230606
437,485.77919,0.11682827025651932,0.07548490911722183
438,486.274704,0.11536915600299835,0.07757684588432312
439,486.770193,0.1239631399512291,0.0763496533036232
440,487.265658,0.1296806037425995,0.07965601980686188
441,487.761098,0.130475252866745,0.08089060336351395
442,488.256513,0.14164528250694275,0.0822291374206543
443,488.751885,0.1469801962375641,0.08173265308141708
444,489.247195,0.15701517462730408,0.08013954758644104
445,489.742446,0.16845205426216125,0.07903226464986801
446,490.237638,0.1675993800163269,0.07802104204893112
447,490.732773,0.17173540592193604,0.07723821699619293
448,491.227852,0.17996424436569214,0.07663575559854507
449,491.722876,0.17893841862678528,0.07811199873685837
450,492.217848,0.19464385509490967,0.07847762107849121
451,492.712767,0.2035285234451294,0.08017626404762268
452,493.207636,0.21017590165138245,0.08214832097291946
453,493.702456,0.2227025032043457,0.07983056455850601
454,494.197229,0.22226707637310028,0.08243100345134735
455,494.691955,0.23272806406021118,0.07915786653757095
456,495.186636,0.2448267787694931,0.07956637442111969
457,495.681274,0.2618468105792999,0.07678591459989548
458,496.175869,0.2578558027744293,0.07782778888940811
459,496.670423,0.25852102041244507,0.07768003642559052
460,497.164938,0.2796577215194702,0.07813619822263718
461,497.659415,0.29234078526496887,0.07986234873533249
462,498.153855,0.2909516394138336,0.08244213461875916
463,498.64826,0.2855567932128906,0.08269794285297394
464,499.14263,0.30125024914741516,0.07954197376966476
465,499.636968,0.312558114528656,0.07851894944906235
466,500.131275,0.311143696308136,0.08122533559799194
467,500.625551,0.32154977321624756,0.07838420569896698
468,501.119799,0.3252415359020233,0.08152169734239578
469,501.61402,0.3238082826137543,0.08374655246734619
470,502.108215,0.343057781457901,0.08133826404809952
471,502.602385,0.36072838306427,0.07647190988063812
472,503.096532,0.36500537395477295,0.07991202175617218
473,503.590658,0.3777494728565216,0.08119964599609375
474,504.084763,0.38856077194213867,0.07993082702159882
475,504.578849,0.39526647329330444,0.07859703153371811
476,505.072917,0.3902515172958374,0.07808084785938263
477,505.566968,0.40318557620048523,0.08004223555326462
478,506.061005,0.4165172278881073,0.07857975363731384
479,506.555028,0.4234413802623749,0.08022382110357285
480,507.049039,0.4257325232028961,0.07928361743688583
481,507.543039,0.4377846419811249,0.07907263189554214
482,508.03703,0.44172969460487366,0.07754377275705338
